"species","arbutus-ridge","downtown","dunbar-southlands","fairview","grandview-woodland","hastings-sunrise","kensington-cedar cottage","kerrisdale","killarney","kitsilano","marpole","mount pleasant","oakridge","renfrew-collingwood","riley park","shaughnessy","south cambie","strathcona","sunset","victoria-fraserview","west end","west point grey"
"LATIFOLIA",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
"ALPINUM",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ALTISSIMA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"CAPILLIPES",0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,2,1,0,0,0,0,0
"DAVIDII",0,0,0,0,0,0,0,0,0,1,2,16,1,30,0,1,0,0,0,2,1,0
"EMARGINATA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HISPIDA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
"LASIOCARPA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LEYLANDII",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"MARIANA",0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,1,0,0,0,0
"RACEMOSA",0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"SPICATUM",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"STROBUS",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"ENGELMANNII",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"SARGENTIANA",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"TRICHOTOMUM",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ELLIPSOIDALIS",0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
"AMURENSE",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
"TIANSHANICA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"CANESCENS   X",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"DENTATA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0
"DISTICHUM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1
"JEFFREYI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"SEPTEMLOBUS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MYRSINIFOLIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"UNEDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CISSIFOLIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,1
"FRAXINIFOLIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"AILANTHIFOLIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
"CYLINDRICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"JULIBRISSIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SPRENGERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WILSONII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"LENTAGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"OVATA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TRIFOLIATA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
